2026-03-03 11:30:00.057 | ERROR    | app.services.trip_service:get_active_monitoring_trips:313 - Erro ao calcular janela de monitoramento para trip geo_TEST_user_777_Frankfurt_2026-02-25: cannot access local variable 'end_dt' where it is not associated with a value
2026-03-03 11:30:00.057 | ERROR    | app.services.trip_service:get_active_monitoring_trips:313 - Erro ao calcular janela de monitoramento para trip test_USER_alerts_999_D7-Place_2026-03-05: cannot access local variable 'end_dt' where it is not associated with a value
2026-03-03 11:30:00.058 | ERROR    | app.services.trip_service:get_active_monitoring_trips:313 - Erro ao calcular janela de monitoramento para trip test_USER_alerts_999_D1-Place_2026-02-27: cannot access local variable 'end_dt' where it is not associated with a value
2026-03-03 11:30:00.058 | ERROR    | app.services.trip_service:get_active_monitoring_trips:313 - Erro ao calcular janela de monitoramento para trip test_USER_alerts_999_D0-Place_2026-02-26: cannot access local variable 'end_dt' where it is not associated with a value
2026-03-03 11:30:00.062 | INFO     | app.services.scheduler_service:monitor_government_alerts:449 - 🔎 Buscando avisos oficiais para LISBON (5541988368783)...
2026-03-03 11:30:00.210 | INFO     | app.agents.orchestrator:create_agent_graph:314 - ✅ Grafo LangGraph compilado COM Motor de Memória Persistente
2026-03-03 11:30:00.211 | INFO     | app.agents.orchestrator:__init__:330 - 🚀 TravelAgent inicializado
2026-03-03 11:30:00.214 | INFO     | app.agents.orchestrator:chat:334 - 💬 Usuário: Você é um especialista em turismo estratégico. Sua tarefa é buscar DE FORMA ATUALIZADA (hoje: 2026-03-03) no portal oficial da **Prefeitura de LISBON** ou na **Secretaria de Turismo Local** por AVISOS IMPORTANTES.

FOCO EXCLUSIVO EM NOTÍCIAS RELEVANTES PARA TURISTAS HOJE:
1. Fechamento de ruas ou grandes avenidas por conta de Festivais, Desfiles ou Obras da Prefeitura.
2. Interdição de praias, parques estaduais ou vias de acesso a monumentos públicos.
3. Alertas meteorológicos sérios emitidos pela Defesa Civil da cidade.
4. Novas restrições ou regras locais urgentes aplicadas a turistas.

REGRAS CRÍTICAS:
- Priorize fontes que terminem em .gov, sites de Prefeituras (City Hall) e Portais G1/Locais.
- Se não houver avisos novos locais ou críticos, responda estritamente: 'SEM_AVISOS_NOVOS'.
- Seja direto, útil, e cite a fonte se possível. (Thread: 5541988368783)
2026-03-03 11:30:00.384 | INFO     | app.agents.orchestrator:call_model:37 - 🤖 Acionando OpenAI Agent...
2026-03-03 11:30:03.579 | INFO     | app.services.rag_service:_load_data:41 - 📂 9 documentos carregados da memória.
2026-03-03 11:30:03.579 | INFO     | app.services.rag_service:__init__:29 - ✅ RAG Service NumPy inicializado (Base em: ./data/chroma_db\vector_data.json)
2026-03-03 11:30:03.580 | INFO     | app.services.rag_service:query:174 - 🔍 Buscando no RAG: '[PRIMEIRA MENSAGEM DO USUÁRIO - APRESENTE-SE DE GALA COMO SEVEN ASSISTANT CONCIERGE] Você é um especialista em turismo estratégico. Sua tarefa é buscar DE FORMA ATUALIZADA (hoje: 2026-03-03) no portal oficial da **Prefeitura de LISBON** ou na **Secretaria de Turismo Local** por AVISOS IMPORTANTES.

FOCO EXCLUSIVO EM NOTÍCIAS RELEVANTES PARA TURISTAS HOJE:
